district,hour,avg_response_min,std_response_min,call_count,delay_rate,cluster
0,0,26.87506361323155,51.11912300344386,131,0.48854961832061067,-1
0,1,23.38866666666667,44.15003631252534,100,0.39,-1
0,2,38.973076923076924,76.2576461693276,104,0.46153846153846156,-1
0,3,31.549553571428568,55.56030327129889,112,0.4732142857142857,-1
0,4,30.371944444444445,50.05712259529509,60,0.3333333333333333,-1
0,5,28.954802259887003,33.020367865510444,59,0.4915254237288136,-1
0,6,23.36200716845878,22.451609849103765,93,0.7526881720430108,-1
0,11,42.22218614718614,94.68867065407944,154,0.6948051948051948,-1
0,12,37.54893162393162,79.35724670492274,156,0.6474358974358975,-1
0,13,38.72556306306306,48.49974637455175,148,0.6351351351351351,-1
0,14,43.16412037037037,61.65016828123255,144,0.7986111111111112,-1
0,15,27.85204678362573,39.98469589626452,171,0.6608187134502924,-1
0,22,23.502000000000002,48.73835290804376,175,0.42857142857142855,-1
1,5,63.45820833333333,102.81114218184642,800,0.72125,-1
2,5,62.16138591800357,79.45559094136388,748,0.6871657754010695,-1
2,7,48.10258194186766,113.23873256194584,1078,0.6512059369202227,-1
2,8,51.850670876085246,113.90256543860421,1267,0.6456195737963694,-1
2,14,68.6148097826087,126.00722943467522,1472,0.720108695652174,-1
3,7,42.13142243328811,97.12009445024955,1474,0.6105834464043419,-1
3,8,49.48390029325513,96.98923575587308,1705,0.6533724340175953,-1
3,11,68.93182601205858,120.38745717375339,1935,0.7095607235142118,-1
3,12,61.62296993085705,106.4733537897235,2073,0.713941148094549,-1
3,13,67.82396687570349,110.9630202945699,2073,0.7178002894356006,-1
3,14,64.18481723675386,106.08424640253118,1988,0.7887323943661971,-1
3,15,48.32964635063958,89.38722955286592,2215,0.7214446952595936,-1
3,21,33.203171534937,69.87750836241375,2328,0.5751718213058419,-1
3,22,29.169109381755295,69.7976780427815,2313,0.47168179853004755,-1
3,23,38.459410750666045,89.65362403034531,2127,0.5246826516220028,-1
4,0,47.79369205965337,93.68981208827645,1654,0.5646916565900847,-1
4,8,42.9944610034774,99.79954768970039,1342,0.6572280178837556,-1
4,9,51.174289151356085,129.60057088213418,1524,0.6916010498687664,-1
4,14,68.72078697981047,142.3188018259596,1618,0.8053152039555006,-1
4,18,70.40942190105615,142.52408527083503,1799,0.6748193440800445,-1
4,19,68.50838888888889,143.2153555229317,1800,0.6822222222222222,-1
4,22,43.27048266248475,104.03360722310293,1913,0.5190799790904339,-1
4,23,48.53031546316558,105.1800909898594,1828,0.5519693654266958,-1
5,5,53.42168174962292,48.94194479230144,442,0.8190045248868778,-1
5,6,37.297304832713756,67.96995188359456,538,0.7732342007434945,-1
5,11,53.57663043478261,89.88465612173962,1104,0.7771739130434783,-1
5,12,56.62910879629629,93.30819911044372,1152,0.8072916666666666,-1
5,13,62.27193511340798,104.8895146626026,1161,0.8027562446167097,-1
5,14,65.02334187304298,90.25300955587888,1171,0.8650725875320239,-1
5,15,52.09198312236287,94.17290884325345,1185,0.7949367088607595,-1
5,19,37.599881586737716,62.844474041214106,1126,0.7051509769094139,-1
5,21,34.622673065735896,84.18659729168303,1146,0.6134380453752182,-1
5,22,30.58755357731619,56.2116830481422,1011,0.5479723046488625,-1
5,23,43.9480310880829,90.53873185505257,965,0.6072538860103627,-1
6,5,70.40181405895692,85.51120017319211,294,0.8401360544217688,-1
6,13,59.78258673693457,126.50084869938254,759,0.7786561264822134,-1
6,14,59.652756244616704,89.03253171520724,774,0.8475452196382429,-1
6,15,59.75482509047045,122.200067722712,829,0.7961399276236429,-1
6,22,42.01505830317652,90.7536069993936,829,0.6055488540410132,-1
