district,hour,avg_response_min,std_response_min,call_count,delay_rate,cluster
6,23,49.367734757454386,99.70876478227618,749,0.6288384512683578,-1
8,2,34.38776824034335,61.717174460972004,233,0.6137339055793991,-1
8,4,57.30356394129979,66.73409101977951,159,0.7358490566037735,-1
8,5,59.00732600732601,71.3936708126019,182,0.9230769230769231,-1
8,7,30.74033245844269,42.94688017391724,381,0.7270341207349081,-1
8,8,35.67849344978166,64.46501916410878,458,0.7685589519650655,-1
8,11,56.44755509641873,99.06694086855153,484,0.7768595041322314,-1
8,12,60.1736974262398,110.36657444854667,531,0.8135593220338984,-1
8,13,61.27660256410256,76.73645244471633,520,0.8807692307692307,-1
8,14,58.76224105461394,78.01085268785108,531,0.8888888888888888,-1
8,15,49.469667832167836,90.9855697606845,572,0.8391608391608392,-1
8,16,42.14345535219079,73.7703550168929,601,0.8153078202995009,-1
8,23,38.496156957928804,59.94272364798908,412,0.6966019417475728,-1
9,3,25.006745337995337,46.31329528352614,1144,0.41346153846153844,-1
9,6,31.37397942783671,57.187692268319275,1037,0.6586306653809064,-1
9,7,22.897331583552056,39.966313528606804,1524,0.5446194225721784,-1
9,8,26.743920454545457,53.52269780842797,1760,0.5806818181818182,-1
9,9,33.150346636687274,79.8178047832434,1779,0.5744800449690838,-1
9,14,47.08542730677562,85.67766714298232,1958,0.7563840653728294,-1
9,15,34.19466731110037,57.89041857771031,2069,0.66747220879652,-1
9,16,42.2576933441121,67.84215235471474,2474,0.685125303152789,-1
9,17,34.03569175304191,59.628694199374955,2219,0.6538981523208652,-1
10,0,36.444030851777335,87.98611154967902,497,0.6056338028169014,-1
10,1,34.3913963963964,75.01921682145377,370,0.5432432432432432,-1
10,5,59.82961487383798,42.528352105206466,251,0.8565737051792829,-1
10,7,28.966170080695218,47.08860808697643,537,0.7430167597765364,-1
10,8,26.78945147679325,41.52888468603721,632,0.6835443037974683,-1
10,12,44.91325814536341,100.17218865749501,665,0.7082706766917293,-1
10,14,45.0375,63.48213651189072,692,0.8453757225433526,-1
10,21,24.822195383789587,46.45445919844325,621,0.6457326892109501,-1
